Ph,K,P,N,Zn,S,CLOUD_AMT,PS,temperature_range,wind_chill,CLOUD0/1,temperature_humidity_ratio,precipitation,(WD10M + GWETTOP)/ WS2M_RANGE,label
5.65,207.086,3.418,0.23,0.460181,16.075,56.57,77.03,17.33083333,20.94090357740211,1,2.5117632387981006,6.229166665749999,0.6682692307692307,Barley
5.57,303.528,2.147,0.23,1.418,11.203,56.57,77.03,17.33083333,20.94090357740211,1,2.5117632387981006,6.229166665749999,0.6682692307692307,Barley
5.34,401.063,6.382,0.23,2.433,13.069,56.57,77.03,17.33083333,20.94090357740211,1,2.5117632387981006,6.229166665749999,0.6682692307692307,Barley
5.47,217.874,0.83888,0.23,0.723258,11.88,56.57,77.03,17.33083333,20.94090357740211,1,2.5117632387981006,6.229166665749999,0.6682692307692307,Barley
6.06,149.357,1.505,0.23,0.754669,11.35,56.57,77.03,17.33083333,20.94090357740211,1,2.5117632387981006,6.229166665749999,0.6682692307692307,Barley
5.6,423.766,3.822,0.23,2.093,12.197,56.57,77.03,17.33083333,20.94090357740211,1,2.5117632387981006,6.229166665749999,0.6682692307692307,Barley
6.17,77.385,6.166,0.23,0.942004,10.85,56.57,77.03,17.33083333,20.94090357740211,1,2.5117632387981006,6.229166665749999,0.6682692307692307,Barley
5.3,125,8,0.2279,0.9,23,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.3,92,7,0.2279,1.2,22,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.3,74,7,0.2279,1.2,19,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.3,101,4,0.2279,0.9,8,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.3,114,8,0.2279,1.2,18,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,211,2,0.1333,1.4,9,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
